Navn;Deklareret faktor;Deklareret enhed;Massefaktor;A1tilA3;C3;C4;D;Type;Kilde
Gipskartonplade 13 mm, hulplade;1;M2;8,50;1.36;;0.13;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gipskartonplade 13 mm, imprægneret;1;M2;10,00;1.62;;0.15;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gipskartonplade, brandimprægneret;1;M2;10,00;1.54;;0.15;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gipspulver, Alpha-halvhydrat;1;KG;1,00;0.26;;0.02;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gipssten;1;KG;1,00;0.00;;0.02;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gitterlampe 2x T8-36W (LFL);1;Pcs;5829,00;34.28;0.01;;-17.31;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gitterlampe integreret i loft 2x T5-28W (LFL);1;Pcs;5,19;30.52;0.01;;-15.41;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gitterlampe integreret i loft 3x T5-14W (LFL);1;Pcs;4,59;30.31;0.01;;-15.23;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gitterlampe integreret i loft 3x T8-18W (LFL);1;Pcs;4,97;32.64;0.01;;-16.40;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Glas 3 mm;1;M2;10,00;13.33;;0.16;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Glasbyggesten;1;M3;2500,00;3926.96;;44.33;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Glasfiberdug;1;M2;0,12;0.29;0.00;0.00;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Glasfiber-forstærket plast, polyester (30%fiberandel);1;KG;1,00;3.73;1.59;;-0.74;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Glastag, aluminium (komplet vindue);1;M2;61,80;232.00;10.60;0.12;-77.40;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Grunder til silikonespuds;1;KG;1,00;0.69;;0.02;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Grunder, silikat dispersion;1;KG;1,00;0.58;;0.02;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Grus 16/32 (tørret);1;KG;1,00;0.03;0.01;;0.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Grus 2-32 mm;1;KG;1,00;0.00;0.01;;0.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Grus 2-32 mm, tørret;1;KG;1,00;0.03;0.01;;0.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Grus, 2-15 mm, tørret;1;KG;1,00;0.03;0.01;;0.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Grå støbejern;1;KG;1,00;1.64;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gulvvarme PP (100 mm);1;M2;1,90;6.14;6.68;;-2.78;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gulvvarme, kobber (100 mm afstand);1;M2;5,70;22.32;3.17;;-6.79;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gulvvarme, kobber (200 mm afstand);1;M2;3,30;12.98;3.17;;-4.06;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gulvvarme, PEX (200 mm afstand);1;M2;1,40;5.69;4.92;;-2.05;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gulvvarme, PP (200 mm afstand);1;M2;1,40;4.89;4.92;;-2.05;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gulvvarme, rørsystem, PEX, 100 mm afstand;1;M2;1,90;7.75;6.68;;-2.78;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gummigulve med skumbagside EN 1816;1;M2;3,82;13.22;10.99;;-6.48;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gummigulve profileret EN 12199;1;M2;4,82;12.88;13.87;;-8.17;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gummitætning;1;KG;1,00;3.64;3.03;;-1.41;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Halm;1;M3;100,00;-127.00;0.00;134.00;0.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Hampfiberdug;1;M3;38,00;19.16;86.18;;-12.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
HPL- plade;1;M3;1400,00;-385.54;1978.67;;12.13;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Huldæk element, 22 cm, 6-10 liner;1;M2;344,60;49.80;1.04;0.76;-0.71;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Huldæk element, 32 cm, 11-17 liner;1;M2;451,40;67.90;1.37;1.00;-0.93;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Huldæk element, 32 cm, 6-10 liner;1;M2;459,60;66.40;1.40;1.03;-0.95;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Hærdeplastgulv (PU, epoxy);1;KG;1,00;5.81;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Hørfiberdug;1;M3;38,00;16.04;86.18;;-12.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Høvlede konstruktionstræsprodukter af fyrog gran;1;M3;456,00;-670.00;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Høvlede konstruktionstræsprodukter af fyrog gran, Forbrænding;1;M3;456,00;;728.00;0.00;-371.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Høvlede konstruktionstræsprodukter af fyrog gran, Genbrug;1;M3;456,00;;717.00;0.00;-768.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kabelbakke, hård PVC;1;KG;1,00;2.01;3.01;;-0.67;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kalciumsilikatplade;1;M3;225,00;550.40;1.65;;0.46;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kalciumsulfat;1;KG;1,00;0.11;;0.02;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kalk, malet;1;KG;1,00;1.44;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kalkcementmørtel;1;M3;1800,00;202.00;;29.47;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kalkcementpuds;1;M3;1800,00;356.63;;27.01;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kalkpuds;1;M3;1800,00;407.99;;27.01;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kalkpuds, tørstof;1;M3;900,00;190.61;;13.51;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kalksandsten;1;M3;2000,00;306.12;13.45;;-4.11;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Keramikfliser, glaseret;1;M2;20,00;6.18;0.15;;0.04;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Keramikfliser, u-glaseret;1;M2;20,00;6.85;0.15;;0.04;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kertotræ (LVL);1;M3;465,70;-465.42;896.18;;-30.48;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Klordifluormethan (R22);1;KG;1,00;4.76;;1.77;0.21;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kobberrør (blank);1;KG;1,00;;0.00;;-1.14;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kobberrør (coatede);1;KG;1,00;;0.00;;-1.41;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kompakt lysstofrør 18W (ballast eksternt);1;Pcs;0,05;0.30;0.03;0.00;0.01;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kondenserende gaskedel;1;Pcs;43,00;243.63;7.05;0.51;-59.31;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kondenserende gaskedel;1;Pcs;133,00;753.55;21.82;1.58;-183.44;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kondenserende gaskedel 120-400 kW(standalone enhed);1;Pcs;974,00;3422.37;161.50;;-1357.73;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kondenserende gaskedel 120-400 kW(standalone enhed), EOL;1;Pcs;974,00;;;1.80;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kondenserende gaskedel 20-120 kW (standalone enhed);1;Pcs;283,00;;46.73;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kondenserende gaskedel 20-120 kW(standalone enhed);1;Pcs;283,00;1268.30;;;-392.75;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kondenserende gaskedel 20-120 kW(standalone enhed), EOL;1;Pcs;283,00;;;1.80;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kork linoleumsgulv (tykkelse 0,0025 m);1;M2;3,10;3.60;3.59;;0.35;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kork, expanderet;1;M3;80,00;-96.90;151.51;;-38.83;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Korkfliser 4 mm;1;M2;1,80;-3.04;3.22;;0.35;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Korkfliser 6 mm;1;M2;2,70;-4.56;4.84;;0.54;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Korkfliser 8 mm;1;M2;3,60;-6.08;6.39;;-0.67;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Krydsfiner, ubehandlet;1;M3;480,00;-599.00;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Krydsfiner, ubehandlet, Forbrænding;1;M3;480,00;;743.00;0.00;-391.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Krydsfiner, ubehandlet, Genbrug;1;M3;480,00;;732.00;0.00;-786.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Krydslamineret træ;1;M3;470,00;-664.00;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Krydslamineret træ, Forbrænding;1;M3;470,00;;744.00;0.00;-387.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Krydslamineret træ, Genbrug;1;M3;470,00;;733.00;0.00;-786.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Krydslimet plade, 3 lag;1;M3;472,00;-616.63;851.82;;-228.30;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Krydslimet plade, 3- og 5-lag;1;M3;510,45;-643.05;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Krydslimet plade, 5 lag;1;M3;472,00;-634.98;851.82;;-228.30;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kuldioxid (R744);1;KG;1,00;1.08;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kunststenplade (bundet af epoxyharpiks);1;M2;52,00;28.35;0.38;;0.11;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kølemiddel (R404a);1;KG;1,00;9.49;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kølemiddel (R407c);1;KG;1,00;8.38;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Kølemiddel (R410a);1E-06;KG;1,00;8.06;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Laminatgulv 8 mm;1;M2;7,45;-5.27;13.50;;-3.65;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lavagrus;1;KG;1,00;0.00;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
LED kontorbelysning;1;Pcs;5,95;33.46;5.46;;-13.73;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ler pulver;1;KG;1,00;0.35;0.00;;0.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ler, stampet ler;1;M3;2000,00;9.35;6.76;;-2.94;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lerplade (tykkelse 0,02 m);1;M2;14,00;0.05;0.04;;0.02;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lerpuds;1;M3;900,00;93.15;2.81;;-3.89;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lerrør, glaseret, DN 250;1;M;51,00;26.28;0.41;;0.10;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lerrør, glaseret, DN 400;1;M;142,00;51.52;1.13;;0.29;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lersten;1;M3;1200,00;93.64;4.05;;-1.76;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Letbeton vægelement, 100 mm tyk væg, 10% udsparinger;1;M2;161,50;26.80;0.49;0.36;0.36;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Letbeton vægelement, 150 mm tyk væg, 10% udsparinger;1;M2;242,40;38.60;0.74;0.54;-0.62;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Letbeton vægelement, 220 mm tyk væg, 10% udsparinger;1;M2;394,80;63.00;1.15;0.84;-0.93;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Letbetonblok af 100% naturlig pimpsten;1;M3;500,00;42.97;3.67;;-1.03;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Letklinker, ekspanderet ler, nødder;1;KG;1,00;0.33;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Letklinkerbeton, hulblokke 1601 kg/m3;1;M3;1601,00;385.79;10.76;;-3.29;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Letklinkerblok, Letklinkerblik med grå EPS isolering;1;M3;327,00;;;;0.57;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Letklinkerblok, Letklinkerblik med grå EPSisolering;1;M3;327,00;121.00;0.84;0.62;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Letklinkerblok, Letklinkerblok med hvid EPSisolering;1;M3;375,00;130.00;0.96;6.19;-4.39;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Letklinkerblok, Massiv letklinkerblok;1;M3;600,00;194.00;1.60;1.19;-1.10;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lim til gipsplader;1;KG;1,00;0.10;;0.02;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Limtræs-produkter af fyr og gran;1;M3;500,00;-610.00;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Limtræs-produkter af fyr og gran, Forbrænding;1;M3;500,00;;743.00;0.00;-395.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Limtræs-produkter af fyr og gran, Genbrug;1;M3;500,00;;731.00;0.00;-787.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Linoleum gulvbelægning (tykkelse 0,0025 m);1;M2;3,00;-3.25;3.59;;0.44;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lithium jernfosfat (LiFePO4) batteri (1 kWhlagring);1;Pcs;23,30;241.48;;22.59;-35.29;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lithiumbromid;1;KG;1,00;8.08;;9.23;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Loftspanel, Mineraluld;1;M2;2,40;3.49;0.00;0.04;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
LPG tank 2700 l / 1,2 t (underjordisk);1;Pcs;773,33;2135.85;54.23;;-1202.05;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
LPG tank 2700 l / t 1,2 (overjordiske);1;Pcs;648,00;1720.01;0.43;;-825.92;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
LPG tank 4850 l / 2,1 t (underjordisk);1;Pcs;1116,70;3084.11;78.13;;-1735.34;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
LPG tank 4850 l / 2,1t (overjordiske);1;Pcs;1040,00;2762.64;0.85;;-1621.60;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
LPG tank 6400 l / 2,9 t (underjordisk);1;Pcs;1390,00;3839.02;97.37;;-2159.91;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
LPG tank 6400 l / t 2,9 (overjordiske);1;Pcs;1170,00;3107.97;0.96;;-1824.30;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lysstofrør fatning T8-18W (LFL);1;Pcs;0,39;1.16;0.23;;-0.61;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lysstofrør fatning T8-36W (LFL);1;Pcs;1,66;5.00;0.00;;-2.63;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lysstofrør T5-14W;1;Pcs;0,05;0.29;0.00;;0.03;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lysstofrør T5-14W, EOL;1;Pcs;0,05;;;0.00;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lysstofrør T5-28W;1;Pcs;0,11;0.52;0.00;;0.03;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lysstofrør T5-28W, EOL;1;Pcs;0,11;;;0.00;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lysstofrør T8-18W;1;Pcs;0,07;0.37;0.00;;0.04;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lysstofrør T8-18W, EOL;1;Pcs;0,07;;;0.00;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lysstofrør T8-36W;1;Pcs;0,15;0.68;0.00;;0.04;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Lysstofrør T8-36W, EOL;1;Pcs;0,15;;;0.01;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Læsket kalk, pulver;1;KG;1,00;1.10;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Marmorplade (tykkelse 0,02 m);1;M2;52,00;16.28;0.38;;0.11;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Melamin-skum;1;KG;1,00;6.58;1.43;;-0.66;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Messing;1;KG;1,00;1.39;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Mineraluld, alm.;1;M3;26,25;40.31;0.72;0.40;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Mineraluld, facadesystem;1;M3;46,25;70.39;1.27;0.70;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Mineraluld, løsfyld;1;M3;50,00;64.02;1.25;0.69;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Mineraluld, skråtag;1;M3;30,00;46.52;0.78;0.46;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Mineraluld, stenuld, rørskål;1;M3;151,00;317.95;0.02;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Mineraluld, stenuld, teknisk pladeisolering;1;M3;146,40;196.03;0.02;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Mineraluld, terræn;1;M3;85,00;133.91;2.33;1.29;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Mineraluld, trykfast til tagsystem;1;M3;145,00;209.50;3.98;2.20;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Mørtel, armeringsmørtel, kunstharpiksspartelmasse;1;KG;1,00;0.48;0.00;0.02;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Mørtel, cementmørtel;1;M3;2000,00;345.11;;29.30;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Mørtel, fliseklæber;1;KG;1,00;0.35;;0.02;0.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Naturstenplade, blød, facade;1;M2;104,00;16.23;0.70;;0.21;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Naturstenplade, blød, gulv;1;M2;52,00;14.92;0.35;;0.11;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Naturstenplade, hård, facade;1;M2;78,00;32.41;0.52;;0.16;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Naturstenplade, hård, gulv;1;M2;52,00;31.75;0.35;;0.11;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Naturstensplade, udendørsbrug;1;M2;208,00;5.74;1.40;;0.43;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Net-forstærket dampspærre PET;1;M2;0,12;0.74;0.33;;0.10;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Nylonstøbning (PA 6.6);1;KG;1,00;10.66;2.88;;-1.09;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Oliekedel, lav temperatur, < 20 kW;1;Pcs;221,00;803.77;11.92;;-139.23;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Oliekedel, lav temperatur, < 20 kW, EOL;1;Pcs;221,00;;;0.95;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Oliekedel, lav temperatur, 120-400 kW;1;Pcs;992,00;3035.05;53.65;;-626.82;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Oliekedel, lav temperatur, 120-400 kW, EOL;1;Pcs;992,00;;;1.80;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Oliekedel, lav temperatur, 20-120 kW;1;Pcs;354,00;1287.48;19.08;;-223.01;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Oliekedel, lav temperatur, 20-120 kW, EOL;1;Pcs;354,00;;;1.60;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Oliekedel, lav temperatur, kondenserende, <20 kW;1;Pcs;162,00;891.10;26.61;1.80;-223.60;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Oliekedel, lav temperatur, kondenserende, 120-400 kW;1;Pcs;1504,00;5075.00;249.50;1.80;-2099.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Oliekedel, lav temperatur, kondenserende, 20-120 kW;1;Pcs;439,00;1755.00;72.67;1.80;-610.80;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Oparbejdning af byggeaffald;1;KG;1,00;;0.00;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
OSB-plade;1;M3;600,00;-572.71;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ovenlyskuppel, plast (komplet ovenlys);1;M2;35,20;45.70;42.50;0.18;-37.10;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Anodisering af aluminiumplade;1;M2;1,00;6.12;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Facademaling, akryl maling;1;KG;1,00;2.11;;0.02;0.01;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Facademaling, grunder, dispersion;1;KG;1,00;0.90;;0.02;0.01;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Facademaling, grunder, silikat;1;KG;1,00;0.87;;0.02;0.01;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Facademaling, silikat;1;KG;1,00;1.48;;0.02;0.01;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Facademaling, silikoneharpiks;1;KG;1,00;1.26;0.00;0.02;0.01;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Indendørsmaling, emulsions maling, slidstærk;1;KG;1,00;;;0.02;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Indendørsmaling, emulsionsmaling, slidstærk;1;KG;1,00;2.62;;;0.01;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Kalkmaling;1;KG;1,00;0.92;;0.02;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Metal maling(opløsningsmiddelbaseret);1;M2;0,21;2.29;0.14;;0.04;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Metalcoating (vandbaseret);1;M2;0,29;2.10;0.25;;0.07;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Opløsningsmiddelbaseret lak, hvid;1;KG;1,00;2.95;0.69;;0.19;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
"Overflade, Parket lak (primer til træ;fortyndet med vand)";1;KG;1,00;1.82;0.91;;0.26;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Parket lak transparent;1;KG;1,00;3.46;0.91;;0.26;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Pulver coating af metal;1;M2;0,18;4.10;0.21;;0.06;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Pulverlakering (Industri,udendørs, hvid);1;KG;1,00;4.74;1.05;;0.32;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, træfacade, semi-pigmenteret lasursystem;1;KG;1,00;2.74;0.84;;0.26;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Træmaling, udendørs, dækkende(topcoat-system);1;KG;1,00;2.74;0.84;;0.26;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, trævinduer, hvid grunder;1;KG;1,00;1.82;0.78;;0.24;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Vandbaseret lak, hvid;1;KG;1,00;2.01;0.86;;0.24;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Vinduesmaling, hvid;1;KG;1,00;1.82;0.78;;0.24;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Overflade, Vinduesmaling, mellemlagdækkende hvid;1;KG;1,00;1.78;0.78;;0.24;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Papiruldsisolering, løsfyld;1;M3;45,00;-73.37;99.08;;-30.51;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Papiruldsplader;1;M3;80,00;-19.99;176.15;;-69.64;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Parket i massivt træ;1;M2;11,71;-12.07;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Parket, flerlag (tykkelse 0,01 m);1;M2;6,50;-4.45;11.80;;-2.32;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
