Sorterings ID;Data type;Navn DK;A1tilA3;C3;C4;D;Deklareret faktor (FU);Deklareret enhed (FU);Masse faktor (densitet)
#G0786;Generisk data;Dampspærre PA;0.707438;0.219924;-;-0.0874466;1;M2;0.08
#G0789;Generisk data;Oparbejdning af byggeaffald;-;0.002663;-;-;1;KG;1
#G0790;Generisk data;Puds, syntetisk harpiks;1201.64;-;25.5094;-;1;M3;1700
#G0792;Generisk data;Varmepumpe (luft-vand) 14kW;642.587;42.1198;5.99447;-338.129;1;STK;187.6
#G0796;Generisk data;Pillefyr, 20-120 kW;2329.17;3.29897;1.80285;-1021.95;1;STK;833
#G0800;Generisk data;Rulletrappe (grundkomponenter pr. trappe);12715.1;105.496;4.88271;-5674.33;1;STK;4076
#G0804;Generisk data;Brugsvandsrør, PEX-Alu-PEX;7.79468;3.0242;-;-2.92695;1;KG;1
#G0807;Generisk data;Brugsvandsrør, PB;3.99847;3.90707;-;-1.62827;1;KG;1
#G0810;Generisk data;Træprodukter, affaldsforbrænding;-;1.80183;-;-0.523199;1;KG;1
#G0812;Generisk data;Perlite 0-3 mm;0.558289;#G0789;-;-;1;KG;1
#G0813;Generisk data;Lithiumbromid;8.08139;-;9.23499;-;1;KG;1
#G0815;Generisk data;LPG tank 6400 l / 2,9 t (underjordisk);3839.02;97.3728;-;-2159.91;1;STK;1390
#G0818;Generisk data;XPS isolering;96.3403;118.208;-;-49.5105;1;M3;32
#G0821;Generisk data;Lim til gipsplader;0.103165;-;0.0150055;-;1;KG;1
#G0827;Generisk data;Plastplade, transparent, PMMA ekstruderet;5756.79;2889.91;-;-1139.6;1;M3;1190
#G0833;Generisk data;Vindueskarm, træ;-0.369776;4.03683;-;-1.62212;1;M;2.11
#G0839;Generisk data;Ler pulver;0.349057;0.00337808;-;-0.0014688;1;KG;1
#G0842;Generisk data;Skorsten opmuret (2 rør);47.4265;3.20127;-;-;1;M;195.6
#G0844;Generisk data;Rør til el-varmepumpe (lodret jordvarme, saltvand), collector, 20 kW;726.23;0;-;-;1;STK;282
#G0846;Generisk data;Grus 2-32 mm;0.00285398;0.00672578;-;-0.00205398;1;KG;1
#G0849;Generisk data;Rulleskodder, PVC;23.4651;12.0519;-;-10.0487;1;M2;6.24
#G0852;Generisk data;El-varmepumpe (lodret jordvarme, saltvand) 10 kW;338.947;4.35298;0.0300174;-156.278;1;STK;139
#G0856;Generisk data;Grunder til silikonespuds;0.692053;-;0.0163697;-;1;KG;1
#G0858;Generisk data;PVC gulvbelægning;8.191;10.8467;-;-2.20199;1;M2;3.03
#G0861;Generisk data;Læsket kalk, pulver;1.09784;#G0789;-;-;1;KG;1
#G0862;Generisk data;Træfiberisoleringsplade (våd proces);-182.182;334.691;-;-88.6621;1;M3;160
#G0865;Generisk data;Vindueshåndtag;0.957379;0.251996;-;-0.109308;1;STK;0.01
