Sorterings ID;Data type;Navn DK;A1tilA3;C3;C4;D;Deklareret faktor (FU);Deklareret enhed (FU);Masse faktor (densitet)
#B1318;Branche data;Krydslamineret træ, CLT (Forbrænding EoL);-664;744;0;-387;1;M3;470
#B1325;Branche data;Konstruktionstræ af nåletræ, Høvlet (Forbrænding EoL);-652;709;0;-425;1;M3;536
#B1332;Branche data;Konstruktionstræ af nåletræ, utørret og opsavet (Forbrænding EoL);-664;709;0;-425;1;M3;644
#B1339;Branche data;Limtræs-produkter af fyr og gran, (Forbrænding EoL);-610;743;0;-395;1;M3;500
#B1346;Branche data;Huldæk element, 22 cm, 6-10 forspændingsliner;49.8;1.04;0.76;-705;1;M2;344.6
#B1350;Branche data;Huldæk element, 32 cm, 6-10 forspændingsliner;66.4;1.04;1.03;-953;1;M2;459.6
#B1354;Branche data;Huldæk element, 32 cm, 11-17 forspændingsliner;67.9;1.37;1;-925;1;M2;451.4
#B1358;Branche data;Letklinkerblok, Massiv;194;1.06;1.19;-1.1;1;M3;600
#B1362;Branche data;Letklinkerblok med hvid EPS isolering;130;961;6.19;-4.39;1;M3;375
#B1366;Branche data;Letklinkerblok med grå EPS isolering;121;836;618;-572;1;M3;327
#B1370;Branche data;Konstruktionstræ af fyr og gran, Høvlet (Forbrænding EoL);-670;728;0;-371;1;M3;456
#B1377;Branche data;Sandwichelement med mineraluld (Facade);90.6;1.51;1.25;-1.21;1;M2;501.8
#B1381;Branche data;Sandwichelement med EPS (Facade);87.3;1.49;10.08;-7.83;1;M2;495.2
#B1385;Branche data;Beton vægelementer, 15 cm tyk væg med 5-15 kg armering  (11% udsparinger);53.1;965;0.07;-787;1;M2;320.9
#B1389;Branche data;Beton vægelementer, 20 cm tyk væg med 5-15 kg armering (11% udsparinger);66.9;1.28;0.93;-1.01;1;M2;426.4
#B1393;Branche data;Beton vægelementer, 20 cm tyk væg med 16-25 kg armering (11% udsparinger);73.2;1.29;932;-1.08;1;M2;433.9
#B1397;Branche data;Letbeton vægelement, 100 mm tyk væg, 10% udsparinger;26.8;486;356;-363;1;M2;161.5
#B1401;Branche data;Letbeton vægelement, 150 mm tyk væg, 10% udsparinger;38.6;744;538;-621;1;M2;242.4
#B1405;Branche data;Letbeton vægelement, 220 mm tyk væg, 10% udsparinger;63;1.15;836;-931;1;M2;394.8
#B1409;Branche data;TT-element/Ribbedæk, TT60 med 12-18 STK. L12,5 liner, og 1,3-3,3 kg slap armering;56.3;1;734;-695;1;M2;332.7
#B1413;Branche data;TT-element/Ribbedæk, TTS90 med 16-22 STK. L12,5 liner, og 1-2,5 kg slap armering;55.3;908;658;-613;1;M2;302
#B1417;Branche data;TT-element/Ribbedæk, TT60 med 20-28 STK. L12,5 liner, og 2-4 kg slap armering;57.7;1.01;734;-711;1;M2;335.1
#B1425;Branche data;Fabriksbeton (C20/25 SCC) i eksponeringsklasserne X0 og XC1;215;6.94;5.13;-4.74;1;M3;2212
#B1433;Branche data;Fabriksbeton (C25/30) i eksponeringsklasserne X0 og XC1;241;6.73;4.97;-4.6;1;M3;2246
#B1437;Branche data;Fabriksbeton C35/45 – CEM I SR-5;403;6.85;5.06;-4.68;1;M3;2304
#B1441;Branche data;Fabriksbeton C35/45 – CEM I;362;7.07;5.23;-4.84;1;M3;2267
#B1445;Branche data;Fabriksbeton C35/45 (fugebeton);377;6.63;4.09;-4.54;1;M3;2256
#B1453;Branche data;Fabriksbeton C40/50 – CEM I SR-5;465;6.95;5.14;-4.76;1;M3;2284
#B1461;Branche data;Fabriksbeton C40/50 – CEM I;429;6.77;5;-4.63;1;M3;2267
#B1469;Branche data;Fabriksbeton C45/55;426;6.75;4.99;-4.62;1;M3;2229
#B1477;Branche data;Fabriksbeton C30/37;282;6.72;4.97;-4.6;1;M3;2255
#B1485;Branche data;Fabriksbeton C35/45 SCC;300;6.54;4.83;-4.47;1;M3;2254
#B1489;Branche data;Konstruktionstræ af fyr og gran, Savede og tørrede (Forbrænding EoL);-680;728;0;-371;1;M3;456
#B1496;Branche data;Krydsfiner, ubehandlet (Forbrænding EoL);-599;743;0;-391;1;M3;480
#G0000;Generisk data;Brandsikkert glas Pyrobel;71.6;-;645;-;1;M2;50.05
#G0002;Generisk data;VVS-rør, blanke kobberrør;1.97;-;0.000949;-733;1;KG;1
#G0005;Generisk data;Tagsten, beton;0.255909;-;0.01607;-0.002681;1;KG;1
#G0008;Generisk data;Tæppeflise;20;0.0341;4.56;-0.0958;1;M2;1.02
#G0012;Generisk data;Træfiberisolering;-156.3;238.2;-;-124;1;M3;157.49
#G0015;Generisk data;Zink, patineret;2.09;-;#G0122;#G0122;1;KG;1
#G0016;Generisk data;Fugemørtel;465;#G0789;-;-;1;KG;1
#G0017;Generisk data;Vandtætningsmembran, flydende;1.11;#G0789;-;-;1;KG;1
#G0018;Generisk data;VVS-rør, PE-skumbelagt kobberrør;2.29;-;377;-868;1;KG;1
#G0021;Generisk data;VVS-rør, PE-belagt kobberrør;2.07;-;964;-1.1;1;KG;1
#G0024;Generisk data;VVS-rør, PU-skumbelagt kobberrør;2.85;-;611;-952;1;KG;1
#G0027;Generisk data;PU skumplade (12cm);14.08;102;8.74;-4;1;M2;3.96
#G0031;Generisk data;VVS-rør, PVC-belagt kobberrør;1.83;-;987;-1.12;1;KG;1
#G0034;Generisk data;WPC facadepanel;-558;8.78167;-;-2.74917;1;M2;7.79
#G0037;Generisk data;WPC terrassebelægning;253;21.0833;-;-4.87195;1;M2;18.36
#G0040;Generisk data;EPS isolering (grå) med termisk strålings absorber;49.7;-;55.6;-28.7;1;M3;16.06
#G0043;Generisk data;EPS isolering til vægge og tage 035;59.5;-;75.2;-39.6;1;M3;22.07
#G0046;Generisk data;EPS isolering til lofter / gulve og kælderydervæg / terrændæk 035;75.4;-;85.9;-45.2;1;M3;25.9
#G0049;Generisk data;EPS isolering til vægge og tage 040;52.5;-;59.5;-31.3;1;M3;18
#G0052;Generisk data;EPS isolering til lofter / gulve og kælderydervæg / terrændæk 040;53.8;-;61;-32.1;1;M3;18.05
#G0055;Generisk data;PU skumisolering, belagt med aluminium på begge sider (12 cm);12.09;106;8.56;-4.98;1;M2;3.72
#G0085;Generisk data;Celleglas-isolering 115 kg/m³;1.32;-;#G0912;-;1;KG;1
#G0086;Generisk data;Stål, valsede profiler og plader;1.125;0.001844;-;-0.4134;1;KG;1
#G0092;Generisk data;Overflade, Facademaling, grunder, dispersion;2.10646;-;0.0150055;-0.00942649;1;KG;1
#G0095;Generisk data;Rør til el-varmepumpe (vand-vand) 70 kW;417.966;0.0147327;-;-28.0661;1;STK;123
#G0098;Generisk data;Gipssten;0.00230588;-;0.0150055;-;1;KG;1
#G0100;Generisk data;Boksventilator 30.000 m³/h,;846.712;11.8708;0.0982552;-506.236;1;STK;167.8000002
#G0104;Generisk data;Varmepumpe, jordvarmesonde, 70 Kw;6262.06;11.4807;0.0300174;-267.67;1;STK;4854.66
#G0108;Generisk data;Glasfiberdug;0.293104;0;0.00196436;-;1;M2;0.12
#G0111;Generisk data;Curtain wall facade med 3-lags ruder, stål;97.0738;6.20355;0.420155;-15.4654;1;M2;21.04
#G0115;Generisk data;Lavagrus;0.00379143;#G0789;-;-;1;KG;1
#G0116;Generisk data;Teglsten, formur;528.541;13.207;-;-3.69717;1;M3;1800
#G0119;Generisk data;Rør, Afløbsrør, PVC;1.91881;0.607628;-;-0.259614;1;KG;1
#G0122;Generisk data;Stål, varmvalset plade, Genanvendelse;-;-;0.00068207;-1.81062;1;KG;1
#G0127;Generisk data;Teflon-membran, polytetrafluoroethylen (PTFE);14.4411;0.364086;-;-0.167871;1;KG;1
#G0130;Generisk data;Decentralt ventilationsanlæg med varmegenvinding (væg & loft) 60 m3 / h;25.3286;4.48641;0.0504797;-11.696;1;STK;3.69
#G0134;Generisk data;Varmepumpe (luft-vand) 7kW;321.294;21.0599;2.99723;-169.065;1;STK;93.8
#G0138;Generisk data;Gips, beta-halvhydrat;0.103165;-;0.0150055;-;1;KG;1
#G0140;Generisk data;Gulvvarmesystem inkl. isolering, PEX (100 mm afstand);7.74763;6.68108;-;-2.78435;1;M2;1.09
#G0143;Generisk data;Overflade, Anodisering af aluminiumplade;6.11931;#G1298;-;-;1;M2;1
#G0144;Generisk data;Overflade, Pulverlakering (Industri, udendørs, hvid);4.73516;1.04568;-;-0.321226;1;KG;1
#G0147;Generisk data;Beslag, stålvindue;9.27171;-;#G0204;#G0204;1;STK;2.63
#G0148;Generisk data;Armeringsnet;0.683355;-;#G0204;#G0204;1;KG;1
#G0149;Generisk data;Afretningslag, hårdt plast;0.3311;-;0.0163697;-;1;KG;1
#G0151;Generisk data;Boksventilator 10.000 m³/h,;343.014;4.80918;0.0398429;-205.411;1;STK;68
#G0158;Generisk data;Grus 2-32 mm, tørret;0.0332595;0.00733722;-;-0.00205398;1;KG;1
#G0161;Generisk data;Polystyren skumfyldning (uden bindemiddel);48.8671;55.4102;-;-23.208;1;M3;15
#G0164;Generisk data;Oliekedel, lav temperatur, 20-120 kW;1287.48;19.0828;1.59552;-223.013;1;STK;354
#G0171;Generisk data;Fibercementplade;6.993;-;0.195072;-;1;M2;13
#G0173;Generisk data;Ekspanderet glasgranulat;0.273532;-;#G0912;-;1;KG;1
#G0174;Generisk data;Rør, Kloakrør PVC;2.8225;3.01298;-;-0.66727;1;KG;1
#G0177;Generisk data;Gaskedel, kondenserende, < 20 kW;446.213;9.15866;0.638208;-63.1364;1;STK;118
#G0181;Generisk data;EPDM skum (rørisolering);245.125;137.702;-;-69.5688;1;M3;55
#G0184;Generisk data;Vindueskarm, aluminium;15.7712;0.693459;-;-9.51688;1;M;1.43
#G0187;Generisk data;Stokerfyr  20-120 KW;2218.21;5.08292;1.80285;-998.687;1;STK;921
#G0191;Generisk data;Kalkcementpuds;356.634;-;27.01;-;1;M3;1800
#G0193;Generisk data;Grus 16/32 (tørret);0.0342735;0.00672578;-;-0.00205398;1;KG;1
#G0199;Generisk data;Fjernvarmeanlæg;4.7708;0.20703;0.00917947;-1.22993;1;KG;1
#G0203;Generisk data;Grå støbejern;1.63536;-;#G0204;#G0204;1;KG;1
#G0204;Generisk data;Stålprofil, Genanvendelse;-;-;0.00068207;-393;1;KG;1
#G0206;Generisk data;Messing;1.38566;#G1298;-;-;1;KG;1
#G0207;Generisk data;Rør, Regnvandsrør, PVC;2.42826;3.01298;-;-0.66727;1;KG;1
#G0210;Generisk data;Rude, 2-lags;36.9941;1.51738;0.327394;-0.702716;1;M2;20.05
#G0214;Generisk data;Bære-/slidlag, Asfalt;0.0789355;0;-;-0.0263052;1;KG;1
#G0217;Generisk data;Kalkpuds;407.986;-;27.01;-;1;M3;1800
#G0219;Generisk data;Rør til el-varmepumpe (lodret jordvarme, saltvand), probe, 10 kW;614.302;0;-;-;1;STK;188.8
#G0221;Generisk data;Træ, lærk;-907.564;1186.9;-;-314.259;1;M3;660.8
#G0224;Generisk data;Rør til el-varmepumpe (lodret jordvarme, saltvand), probe, 20 kW;6027.13;0;-;-;1;STK;551.5
#G0226;Generisk data;Overflade, Pulver coating af metal;4.09796;0.205333;-;-0.0578208;1;M2;0.18
#G0229;Generisk data;Overflade, trævinduer, hvid grunder;1.82186;0.784673;-;-0.243853;1;KG;1
#G0235;Generisk data;Blyplader;1.28344;#G1298;-;-;1;KG;1
#G0239;Generisk data;Buffertank, rustfast stål;4.05831;0.663445;-;-1.20298;1;KG;1
#G0242;Generisk data;Porebeton 474 kg/m³, armeret;263.192;3.36101;-;-1.02642;1;M3;500
#G0245;Generisk data;Facadeklinker;541.904;13.4516;-;-4.10796;1;M3;2000
#G0248;Generisk data;Kalk, malet;1.44393;#G0789;-;-;1;KG;1
#G0252;Generisk data;Difluormethan (R32);5.22467;#G1298;-;-;1;KG;1
#G0253;Generisk data;Gas varmepumpe (luft) 20-70 kW;362.364;10.373;6.32349;-207.236;1;STK;156.82
#G0257;Generisk data;Gaskedel, kondenserende, 120-400 kW;2842.15;71.5794;1.80384;-507.684;1;STK;937
#G0261;Generisk data;Papiruldsplader;-19.9935;176.145;-;-69.6378;1;M3;80
#G0264;Generisk data;Phenolplast, stift skum (PF);87.3203;90.0279;-;-31.9992;1;M3;40
#G0267;Generisk data;Rør, Kloakrør HDPE;2.09831;3.45444;-;-1.70559;1;KG;1
#G0270;Generisk data;Kunststenplade (bundet af epoxyharpiks);28.3505;0.381535;-;-0.106807;1;M2;52
#G0273;Generisk data;Elevator (grundkomponenter pr. STK.);5193;37.3937;4.88271;-1579.64;1;STK;1603
#G0284;Generisk data;Sanitetskeramik;2.80282;0.0163697;-;-;1;KG;1
#G0289;Generisk data;Ventilationsanlæg decentraliseret (væg & loft) 60 m3 / h;4.08676;1.2972;0.0180285;-1.38003;1;STK;878
#G0296;Generisk data;Radiator, stålplade;4.44802;0.000818484;-;-1.55923;1;KG;1
#G0299;Generisk data;EPDM-tætning til aluminiumsprofil, med kuldebroafbrydelse;1.38151;1.34947;1.34869;-1.4583;1;M;0.43
#G0303;Generisk data;Klordifluormethan (R22);4.75856;-;1.77483;-0.212757;1;KG;1
#G0306;Generisk data;Papiruldsisolering, løsfyld;-73.3725;99.0818;-;-30.5055;1;M3;45
#G0309;Generisk data;PUR fugemasse;5.33286;2.65674;-;-0.944422;1;KG;1
#G0312;Generisk data;LPG tank 6400 l / t 2,9 (overjordiske);3107.97;0.957626;-;-1824.3;1;STK;1170
#G0315;Generisk data;Vinduesramme, aluminium;17.055;0.58799;-;-10.4202;1;M;1.51
#G0318;Generisk data;Overflade, Træmaling, udendørs, dækkende (topcoat-system);2.74094;0.836874;-;-0.261171;1;KG;1
#G0321;Generisk data;Sand 0-2 mm, tørret;0.0332595;0.00733722;-;-0.00205398;1;KG;1
#G0324;Generisk data;Overflade, Parket lak transparent;3.4614;0.912953;-;-0.256981;1;KG;1
#G0327;Generisk data;EVA-tagmembran;5.12518;7.9699;-;-3.60722;1;M2;2
#G0330;Generisk data;Betonmursten;242.351;13.4516;-;-4.10796;1;M3;2000
#G0333;Generisk data;Aluminiumsprofil;10.677;-;#G0500;#G0500;1;KG;1
#G0334;Generisk data;Skærver 16-32 mm;0.014695;0.00672578;-;-0.00205398;1;KG;1
#G0337;Generisk data;Fugemasse, Silikone;7.26875;1.51829;-;-0.702716;1;KG;1
#G0340;Generisk data;Keramikfliser, u-glaseret;6.85115;0.146744;-;-0.0410796;1;M2;20
#G0343;Generisk data;Ventilationsaggregat m. varmegenvinding 1000 m3 / h;372.133;0.611164;0.0901424;-212.093;1;STK;99.1
#G0352;Generisk data;Fugemasse, Acryl;3.03501;2.19227;-;-1.01503;1;KG;1
#G0355;Generisk data;Puds, gips-kalk;119.397;-;13.505;-;1;M3;900
#G0358;Generisk data;Ekspanderet skifer;0.341109;#G0789;-;-;1;KG;1
#G0359;Generisk data;Boksventilator 5.000 m³/h;217.047;3.04278;0.0251497;-130.012;1;STK;43
#G0363;Generisk data;Lerrør, glaseret, DN 400;51.5194;1.12871;-;-0.291665;1;M;142
#G0366;Generisk data;Kork, expanderet;-96.9007;151.505;-;-38.8339;1;M3;80
#G0369;Generisk data;Kertotræ (LVL);-465.421;896.177;-;-30.4837;1;M3;465.7
#G0372;Generisk data;Cirkulationspumpe 50-250 W;26.4569;0.86599;0.0450712;-5.06214;1;STK;4.94
#G0376;Generisk data;Tetrafluorethan (R134a);8.38634;#G1298;-;-;1;KG;1
#G0377;Generisk data;Tetrafluorpropen (R1234ze);6.12734;#G1298;-;-;1;KG;1
#G0384;Generisk data;Mørtel, cementmørtel;345.107;-;29.3017;-;1;M3;2000
#G0386;Generisk data;Buffertank, stål;3.1687;0.663445;-;-1.42578;1;KG;1
#G0389;Generisk data;Ventilationskanal, galvaniseret stål;3.04722;0.00163697;-;-1.58648;1;KG;1
#G0392;Generisk data;Beslag til dreje-kip vinduer (aluminium);12.3655;-;#G0763;#G0763;1;STK;1.647
#G0393;Generisk data;Byggepap;-0.0897286;0.162065;-;-0.0579045;1;M2;0.08
#G0396;Generisk data;Rør til el-varmepumpe (lodret jordvarme, saltvand), collector, 70 kW;2541.8;0;-;-;1;STK;987
#G0401;Generisk data;Rør til el-varmepumpe (vand-vand) 20 kW;174.764;0.0147327;-;-28.0661;1;STK;48
#G0404;Generisk data;Hørfiberdug;16.0445;86.1825;-;-12.0031;1;M3;38
#G0407;Generisk data;Træ, egetræ (12% fugt / 10,7% H2O);-1063;1287.83;-;-341.221;1;M3;716.8
#G0410;Generisk data;Støbeasfalt;0.0972808;0;-;-0.0263052;1;KG;1
#G0413;Generisk data;Ventilationsaggregat m. varmegenvinding 5000 m3 / h;1460.38;1.77427;0.180285;-881.899;1;STK;367.94
#G0420;Generisk data;Betontrappe, etagehøj;312.836;13.9419;-;-3.90288;1;STK;1965
#G0423;Generisk data;ECB-plast tagmembran, ifølge DIN 16729 (med PES-filt);8.23049;7.04063;-;-3.2606;1;M2;2.32
#G0429;Generisk data;Solvarmekollektor, vakuumrør;109.581;2.33419;-;-38.8375;1;M2;29.5
#G0432;Generisk data;Rør til el-varmepumpe (vand-vand) 10 kW;136.135;0.0147327;-;-28.0661;1;STK;33
#G0435;Generisk data;Varmepumpe, vand-vand, 70 kW;553.729;13.6581;0.0300174;-307.478;1;STK;199.22
#G0439;Generisk data;Bitumenemulsion (40% bitumen, 60% vand);0.356326;0;0.0859383;-;1;KG;1
#G0442;Generisk data;Curtain wall profiler, stål;36.6271;3.42169;-;-14.8223;1;M;9.48
#G0445;Generisk data;Kuldioxid (R744);1.0753;#G1298;-;-;1;KG;1
#G0446;Generisk data;Slaggebeton, sten;352.838;10.2721;-;-2.87557;1;M3;1400
#G0449;Generisk data;Stenmel 0/2;0.014695;0.00672578;-;-0.00205398;1;KG;1
#G0452;Generisk data;Aluminiumsplade;10.4617;-;#G0500;#G0500;1;KG;1
#G0453;Generisk data;Rulletrappe (komponenter, som er afhængige af højden);2467.1;27.2787;-;-1251.37;1;STK;800
#G0456;Generisk data;Stål, Smedestål;2.80793;-;#G0204;#G0204;1;KG;1
#G0457;Generisk data;Cementbundet spånplade;1694.15;279.382;-;-84.6451;1;M3;1200
#G0460;Generisk data;Elevator (komponenter pr. etage);969.289;0.295179;-;-493.136;1;STK;333
#G0463;Generisk data;Glasfiber-forstærket plast, polyester (30% fiberandel);3.73108;1.59357;-;-0.737851;1;KG;1
#G0466;Generisk data;Cirkulationspumpe 250-1000 W;132.285;4.32995;0.225356;-25.3107;1;STK;24.7
#G0470;Generisk data;Rør, Afløbsrør, ABS;4.40853;2.55257;-;-1.4943;1;KG;1
#G0473;Generisk data;Rør, Brugsvandsrør, PEX;4.10333;3.76848;-;-1.70559;1;KG;1
#G0476;Generisk data;Stålplade (0,3-3,0mm);2.42761;-;#G0122;#G0122;1;KG;1
#G0477;Generisk data;Gulvvarmesystem inkl. isolering, Kobber (100 mm afstand);22.3208;3.17258;-;-6.79116;1;M2;5.07
#G0483;Generisk data;Kølemiddel (R410a);8.06324;#G1298;-;-;1;KG;1
#G0484;Generisk data;Ammoniak (R717);2.49446;#G1298;-;-;1;KG;1
#G0487;Generisk data;Overflade, Opløsningsmiddelbaseret lak, hvid;2.95014;0.68517;-;-0.192736;1;KG;1
#G0490;Generisk data;Fiberdug, PE / PP;1.26052;1.88424;-;-0.852793;1;M2;0.05
#G0493;Generisk data;Overflade, Facademaling, grunder, silikat;0.900033;-;0.0150055;-0.010823;1;KG;1
#G0496;Generisk data;Rør, polypropylen (PP);2.61984;3.22333;-;-1.46545;1;KG;1
#G0499;Generisk data;Stålplade (20 mikrometer galvaniseret);2.67628;-;#G0122;#G0122;1;KG;1
#G0500;Generisk data;Aluminium, plade og profil, Genanvendelse;-;-;0.00068207;-8.26778;1;KG;1
#G0502;Generisk data;Overflade, Metalcoating (vandbaseret);2.09554;0.248242;-;-0.0698668;1;M2;0.29
#G0505;Generisk data;Skorsten stål (enkelt væg);4.02074;0.000818484;-;-1.27358;1;KG;1
#G0511;Generisk data;Vinduesramme, plast;9.24199;4.82076;-;-3.42906;1;M;3.01
#G0514;Generisk data;Mineraluld, stenuld, teknisk pladeisolering;196.032;0.0163697;-;-;1;M3;146.4
#G0516;Generisk data;Porebeton 380 kg/m³;182.392;2.5558;-;-0.780513;1;M3;380
#G0519;Generisk data;Folie, PE-HD med PP-fiberdug;3.21161;4.84274;-;-2.19178;1;M2;1.03
#G0522;Generisk data;Pimpsten, grus;0.00871442;#G0789;-;-;1;KG;1
#G0523;Generisk data;Curtain wall facade med 3-lags ruder, aluminium;121.145;6.20355;0.420155;-37.0598;1;M2;16.05
#G0530;Generisk data;Solcelleanlæg 1000 kWh / m2*a;296.686;-;12.1364;-36.2013;1;M2;9
#G0533;Generisk data;HPL- plade;-385.54;1978.67;-;12.1285;1;M3;1400
#G0536;Generisk data;Træ, gran (12% fugt / 10,7% H2O);-693.836;876.037;-;-238.748;1;M3;481.6
#G0543;Generisk data;Lerpuds;93.1477;2.80641;-;-3.89165;1;M3;900
#G0546;Generisk data;Vinduesprofil, karm, alu. pulverlak.;13.0541;-;#G0500;#G0500;1;M;1.02
#G0547;Generisk data;Kondenserende gaskedel <20 kW (væg enhed);243.628;7.05425;0.512009;-59.3075;1;STK;43
#G0551;Generisk data;Stålplade, rustfri;3.42727;-;#G0763;#G0763;1;KG;1
#G0552;Generisk data;Plast profil CR (chloropren gummi);6.35686;3.56146;-;-1.52255;1;KG;1
#G0555;Generisk data;Stålrør, gevindrør;2.51374;0.00150055;-;-1.55923;1;KG;1
#G0558;Generisk data;Asfalt, bærelag;0.0711519;0;-;-0.0263052;1;KG;1
#G0561;Generisk data;Grunder, silikat dispersion;0.579701;-;0.0163697;-;1;KG;1
#G0563;Generisk data;"Overflade, Parket lak (primer til træ; fortyndet med vand)";1.81695;0.912953;-;-0.256981;1;KG;1
#G0566;Generisk data;LPG tank 4850 l / 2,1 t (underjordisk);3084.11;78.1327;-;-1735.34;1;STK;1116.7
#G0572;Generisk data;Polybutadiene rør (PB);4.10241;3.22333;-;-1.46545;1;KG;1
#G0575;Generisk data;Anhydrit mix;0.0892567;#G0789;-;-;1;KG;1
#G0576;Generisk data;Perlite 0-1 mm;0.522459;#G0789;-;-;1;KG;1
#G0577;Generisk data;Tagsten, tegl;15.8784;0.30266;-;-0.0924292;1;M2;45
#G0580;Generisk data;Pimpsten 0-4 mm;0.00869385;#G0789;-;-;1;KG;1
#G0581;Generisk data;Overflade, Facademaling, silikoneharpiks;1.25633;0;0.0150055;-0.00967088;1;KG;1
#G0592;Generisk data;Træ, ceder;-809.968;1037.52;-;-282.581;1;M3;571
